prod_reg_id,date,value
pas_3,2015-03-01,25344000000.0
pas_4,2015-03-01,3671000000.0
pas_5,2015-03-01,399337000000.0
pas_6,2015-03-01,13203000000.0
pas_7,2015-03-01,1114000000.0
pas_8,2015-03-01,343000000.0
pas_9,2015-03-01,889000000.0
pas_10,2015-03-01,6564000000.0
pas_11,2015-03-01,17879000000.0
pas_12,2015-03-01,7104000000.0
pas_13,2015-03-01,532000000.0
pas_17,2015-03-01,5272000000.0
pas_14,2015-03-01,228000000.0
pas_15,2015-03-01,24751000000.0
pas_16,2015-03-01,40862000000.0
pas_0,2015-04-01,9260000000.0
pas_1,2015-04-01,4650000000.0
pas_2,2015-04-01,7286000000.0
pas_3,2015-04-01,22088000000.0
pas_4,2015-04-01,3483000000.0
pas_5,2015-04-01,383540000000.0
pas_6,2015-04-01,11298000000.0
pas_7,2015-04-01,1174000000.0
pas_8,2015-04-01,507000000.0
pas_9,2015-04-01,1111000000.0
pas_10,2015-04-01,4182000000.0
pas_11,2015-04-01,18254000000.0
pas_12,2015-04-01,6900000000.0
pas_13,2015-04-01,496000000.0
pas_17,2015-04-01,5014000000.0
pas_14,2015-04-01,261000000.0
pas_15,2015-04-01,24607000000.0
pas_16,2015-04-01,34563000000.0
pas_0,2015-05-01,9330000000.0
pas_1,2015-05-01,5119000000.0
pas_2,2015-05-01,6562000000.0
pas_3,2015-05-01,19384000000.0
pas_4,2015-05-01,3787000000.0
pas_5,2015-05-01,409867000000.0
pas_6,2015-05-01,12600000000.0
pas_7,2015-05-01,1161000000.0
pas_8,2015-05-01,544000000.0
pas_9,2015-05-01,1062000000.0
pas_10,2015-05-01,3678000000.0
pas_11,2015-05-01,18708000000.0
pas_12,2015-05-01,6845000000.0
pas_13,2015-05-01,556000000.0
pas_17,2015-05-01,2955000000.0
pas_14,2015-05-01,269000000.0
pas_15,2015-05-01,26652000000.0
pas_16,2015-05-01,37511000000.0
pas_0,2015-06-01,9454000000.0
pas_1,2015-06-01,4452000000.0
pas_2,2015-06-01,6313000000.0
pas_3,2015-06-01,18384000000.0
pas_4,2015-06-01,3316000000.0
pas_5,2015-06-01,486500000000.0
pas_6,2015-06-01,11952000000.0
pas_7,2015-06-01,1174000000.0
pas_8,2015-06-01,476000000.0
pas_9,2015-06-01,861000000.0
pas_10,2015-06-01,3358000000.0
pas_11,2015-06-01,17105000000.0
